,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,no_year
0,3.35,5.59,27000,2,0,1,0,9
1,4.75,9.54,43000,1,0,1,0,10
2,7.25,9.85,6900,2,0,1,0,6
3,2.85,4.15,5200,2,0,1,0,12
4,4.6,6.87,42450,1,0,1,0,9
5,9.25,9.83,2071,1,0,1,0,5
6,6.75,8.12,18796,2,0,1,0,8
7,6.5,8.61,33429,1,0,1,0,8
8,8.75,8.89,20273,1,0,1,0,7
9,7.45,8.92,42367,1,0,1,0,8
10,2.85,3.6,2135,2,0,1,0,6
11,6.85,10.38,51000,1,0,1,0,8
12,7.5,9.94,15000,2,0,0,0,8
13,6.1,7.71,26000,2,0,1,0,8
14,2.25,7.21,77427,2,0,1,0,14
15,7.75,10.79,43000,1,0,1,0,7
16,7.25,10.79,41678,1,0,1,0,8
17,7.75,10.79,43000,1,0,1,0,7
18,3.25,5.09,35500,0,0,1,0,8
19,2.65,7.98,41442,2,0,1,0,13
20,2.85,3.95,25000,2,0,1,0,7
21,4.9,5.71,2400,2,0,1,0,6
22,4.4,8.01,50000,2,0,0,0,12
23,2.5,3.46,45280,2,0,1,0,9
24,2.9,4.41,56879,2,0,1,0,10
25,3.0,4.99,20000,2,0,1,0,12
26,4.15,5.87,55138,2,0,1,0,10
27,6.0,6.49,16200,2,1,1,0,6
28,1.95,3.95,44542,2,0,1,0,13
29,7.45,10.38,45000,1,0,1,0,8
30,3.1,5.98,51439,1,0,1,0,11
31,2.35,4.89,54200,2,0,1,0,12
32,4.95,7.49,39000,1,0,1,0,9
33,6.0,9.95,45000,1,0,1,0,9
34,5.5,8.06,45000,1,0,1,0,9
35,2.95,7.74,49998,0,0,1,0,12
36,4.65,7.2,48767,2,0,1,0,8
37,0.35,2.28,127000,2,1,1,0,20
38,3.0,3.76,10079,2,0,1,0,7
39,2.25,7.98,62000,2,0,1,0,20
40,5.85,7.87,24524,2,0,0,0,7
41,2.55,3.98,46706,2,0,1,0,9
42,1.95,7.15,58000,2,0,1,0,15
43,5.5,8.06,45780,1,0,1,0,9
44,1.25,2.69,50000,2,0,1,0,11
45,7.5,12.04,15000,2,0,0,0,9
46,2.65,4.89,64532,2,0,1,0,10
47,1.05,4.15,65000,2,0,1,0,17
48,5.8,7.71,25870,2,0,1,0,8
49,7.75,9.29,37000,2,0,0,0,6
50,14.9,30.61,104707,1,0,0,0,11
51,23.0,30.61,40000,1,0,0,0,8
52,18.0,19.77,15000,1,0,0,0,6
53,16.0,30.61,135000,1,1,0,0,10
54,2.75,10.21,90000,2,1,1,0,18
55,3.6,15.04,70000,2,0,0,0,14
56,4.5,7.27,40534,2,0,1,0,8
57,4.75,18.54,50000,2,0,1,0,13
58,4.1,6.8,39485,2,0,1,1,9
59,19.99,35.96,41000,1,0,0,0,9
60,6.95,18.61,40001,2,0,1,0,10
61,4.5,7.7,40588,2,0,1,0,8
62,18.75,35.96,78000,1,0,0,0,9
63,23.5,35.96,47000,1,0,0,0,8
64,33.0,36.23,6000,1,0,0,0,6
65,4.75,6.95,45000,1,0,1,0,9
66,19.75,23.15,11000,2,0,0,0,6
67,9.25,20.45,59000,1,0,1,0,13
68,4.35,13.74,88000,2,0,1,0,12
69,14.25,20.91,12000,2,0,1,0,7
70,3.95,6.76,71000,1,0,1,0,9
71,4.5,12.48,45000,1,0,1,0,12
72,7.45,18.61,56001,2,0,1,0,10
73,2.65,5.71,43000,2,0,1,0,12
74,4.9,8.93,83000,1,0,1,0,9
75,3.95,6.8,36000,2,0,1,0,8
76,5.5,14.68,72000,2,0,1,0,10
77,1.5,12.35,135154,2,0,0,0,19
78,5.25,22.83,80000,2,0,0,0,13
79,14.5,30.61,89000,1,0,0,0,11
80,14.73,14.89,23000,1,0,1,0,7
81,4.75,7.85,40000,1,0,1,0,8
82,23.0,25.39,15000,1,0,0,0,6
83,12.5,13.46,38000,1,0,1,0,8
84,3.49,13.46,197176,1,0,1,0,18
85,2.5,23.73,142000,2,1,0,3,17
86,35.0,92.6,78000,1,0,1,0,13
87,5.9,13.74,56000,2,0,1,0,11
88,3.45,6.05,47000,2,0,1,0,10
89,4.75,6.76,40000,2,0,1,0,9
90,3.8,18.61,62000,2,0,1,0,14
91,11.25,16.09,58242,1,0,1,0,9
92,3.51,13.7,75000,2,0,1,0,18
93,23.0,30.61,40000,1,0,0,0,8
94,4.0,22.78,89000,2,0,0,0,15
95,5.85,18.61,72000,2,0,1,0,11
96,20.75,25.39,29000,1,0,0,0,7
97,17.0,18.64,8700,2,0,1,0,6
98,7.05,18.61,45000,2,0,1,0,10
99,9.65,20.45,50024,1,0,1,0,13
100,1.75,1.9,3000,2,1,1,0,7
101,1.7,1.82,1400,2,1,1,0,6
102,1.65,1.78,4000,2,1,1,0,6
103,1.45,1.6,1200,2,1,1,0,6
104,1.35,1.47,4100,2,1,1,0,6
105,1.35,2.37,21700,2,1,1,0,8
106,1.35,3.45,16500,2,1,1,1,9
107,1.25,1.5,15000,2,1,1,0,10
108,1.2,1.5,18000,2,1,1,0,7
109,1.2,1.47,11000,2,1,1,0,6
110,1.2,1.78,6000,2,1,1,0,7
111,1.15,1.5,8700,2,1,1,0,7
112,1.15,2.4,7000,2,1,1,0,9
113,1.15,1.4,35000,2,1,1,0,7
114,1.15,1.47,17000,2,1,1,0,8
115,1.11,1.47,17500,2,1,1,0,8
116,1.1,1.47,33000,2,1,1,0,10
117,1.1,1.9,14000,2,1,1,0,8
118,1.1,1.47,26000,2,1,1,0,8
119,1.05,1.9,5400,2,1,1,0,10
120,1.05,1.26,5700,2,1,1,0,7
121,1.05,1.5,6900,2,1,1,0,12
122,1.05,1.17,6000,2,1,1,0,7
123,1.0,1.47,46500,2,1,1,0,10
124,0.95,1.75,11500,2,1,1,0,11
125,0.9,1.75,40000,2,1,1,0,14
126,0.9,0.95,1300,2,1,1,0,6
127,0.75,0.8,7000,2,1,1,0,7
128,0.8,0.87,3000,2,1,1,0,6
129,0.78,0.84,5000,2,1,1,0,6
130,0.75,0.87,11000,2,1,1,0,6
131,0.75,0.82,18000,2,1,1,0,8
132,0.75,0.95,3500,2,1,1,0,6
133,0.72,0.95,500,2,1,1,0,7
134,0.65,0.81,11800,2,1,1,0,6
135,0.65,0.74,5000,2,1,1,0,8
136,0.65,1.2,23500,2,1,1,0,9
137,0.65,0.787,16000,2,1,1,0,10
138,0.6,0.87,15000,2,1,1,0,7
139,0.6,0.95,16600,2,1,1,0,8
140,0.6,1.2,32000,2,1,1,0,10
141,0.6,0.8,20000,2,1,1,0,7
142,0.6,0.84,29000,2,1,1,0,8
143,0.6,0.84,25000,2,1,1,0,7
144,0.6,0.99,25000,2,1,1,0,9
145,0.6,0.81,19000,2,1,1,0,11
146,0.55,0.787,15000,2,1,1,0,9
147,0.55,0.84,58000,2,1,1,0,8
148,0.52,0.94,45000,2,1,1,0,13
149,0.51,0.94,24000,2,1,1,0,7
150,0.5,0.826,6000,2,1,1,0,12
151,0.5,0.55,31000,2,1,1,0,7
152,0.5,0.99,13000,2,1,1,0,11
153,0.5,0.99,45000,2,1,1,0,10
154,0.5,0.88,8000,2,1,1,0,9
155,0.48,0.51,4300,2,1,0,0,6
156,0.48,0.52,15000,2,1,1,0,6
157,0.48,0.84,23000,2,1,1,0,8
158,0.48,0.54,8600,2,1,1,0,6
159,0.45,0.51,4000,2,1,0,0,6
160,0.45,0.95,24000,2,1,1,0,12
161,0.45,0.826,23000,2,1,1,0,9
162,0.45,0.99,14500,2,1,1,0,11
163,0.45,0.95,27000,2,1,1,0,13
164,0.45,0.54,14000,2,1,1,0,7
165,0.45,0.54,500,2,1,0,0,7
166,0.45,0.55,1000,2,1,1,0,7
167,0.42,0.81,42000,2,1,1,0,9
168,0.42,0.73,12000,2,1,1,0,10
169,0.4,0.54,14000,2,1,1,0,8
170,0.4,0.83,5500,2,1,1,0,11
171,0.4,0.55,6700,2,1,1,0,8
172,0.4,0.64,13700,2,1,1,0,9
173,0.4,0.51,1300,2,1,0,0,6
174,0.38,0.72,38600,2,1,1,0,8
175,0.38,0.787,75000,2,1,1,0,12
176,0.35,1.05,30000,2,1,1,0,12
177,0.35,0.57,24000,2,1,0,0,7
178,0.35,0.52,19000,2,1,0,0,9
179,0.31,1.05,213000,2,1,1,0,13
180,0.3,0.51,60000,2,1,1,0,11
181,0.3,0.48,50000,2,1,1,0,7
182,0.3,0.58,30000,2,1,1,0,10
183,0.27,0.47,21000,2,1,1,0,10
184,0.25,0.75,26000,2,1,1,1,15
185,0.25,0.58,1900,2,1,0,0,15
186,0.25,0.52,22000,2,1,0,0,13
187,0.25,0.51,32000,2,1,1,0,10
188,0.25,0.57,18000,2,1,1,0,10
189,0.2,0.57,55000,2,1,1,0,18
190,0.2,0.75,60000,2,1,1,0,15
191,0.2,0.57,25000,2,1,1,1,11
192,0.2,0.75,49000,2,1,1,1,16
193,0.2,0.65,24000,2,1,1,1,10
194,0.2,0.787,50000,2,1,1,0,15
195,0.18,0.32,35000,2,1,1,0,8
196,0.17,0.52,500000,2,1,0,0,15
197,0.16,0.51,33000,2,1,1,0,13
198,0.15,0.57,35000,2,1,1,1,12
199,0.12,0.58,53000,2,1,1,0,16
200,0.1,0.75,92233,2,1,1,0,17
201,3.25,6.79,58000,1,0,1,1,13
202,4.4,5.7,28200,2,0,1,0,8
203,2.95,4.6,53460,2,0,1,0,12
204,2.75,4.43,28282,2,0,1,0,8
205,5.25,5.7,3493,2,0,1,1,7
